image_id,question_type,question,ground_truth,image_url,n_clusters,n_noise,attention_entropy,token_confidence,predicted_token,cluster_count,cluster_0_n_points,cluster_0_avg_strength,cluster_1_n_points,cluster_1_avg_strength,cluster_2_n_points,cluster_2_avg_strength,cluster_3_n_points,cluster_3_avg_strength,cluster_0_entropy,cluster_1_entropy,cluster_2_entropy,cluster_3_entropy,cluster_4_n_points,cluster_4_avg_strength,cluster_5_n_points,cluster_5_avg_strength,cluster_4_entropy,cluster_5_entropy,cluster_6_n_points,cluster_6_avg_strength,cluster_6_entropy,cluster_7_n_points,cluster_7_avg_strength,cluster_8_n_points,cluster_8_avg_strength,cluster_7_entropy,cluster_8_entropy,cluster_9_n_points,cluster_9_avg_strength,cluster_9_entropy,cluster_10_n_points,cluster_10_avg_strength,cluster_11_n_points,cluster_11_avg_strength,cluster_10_entropy,cluster_11_entropy,cluster_12_n_points,cluster_12_avg_strength,cluster_13_n_points,cluster_13_avg_strength,cluster_12_entropy,cluster_13_entropy
49,Action Recognition,What is the dog doing?,standing,http://images.cocodataset.org/val2017/000000017627.jpg,8,239,0.9965038822598133,-1.0856308937072754,The,8,20.0,0.0022200488832072483,23.0,0.002263675712215453,63.0,0.0021871085164017257,15.0,0.0022173508971847886,0.951850848028674,0.9565831515652945,0.9717001319760642,0.9189900464321514,10.0,0.00215781017810049,15.0,0.0021248488262085924,0.8649735207179273,0.9949490477321437,17.0,0.002260977772668259,0.8091970544181966,15.0,0.002156232722588664,,,0.9609640474436811,,,,,,,,,,,,,,,,
50,Activity Recognition,What are the elephants doing?,walking,http://images.cocodataset.org/val2017/000000025393.jpg,1,238,0.9990985491309315,-1.2981114387512207,Walk,1,25.0,0.0030971885564951736,,,,,,,0.832890542803119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Activity Recognition,What activity requires this equipment?,skiing,http://images.cocodataset.org/val2017/000000502136.jpg,4,293,0.9983465371843286,-2.6017630100250244,C,4,26.0,0.0019724022517804904,48.0,0.002014858829307407,17.0,0.0019767135605974545,88.0,0.001998344207780235,0.9982270255729266,0.9482996983468315,0.9878171319090819,0.9586130585906237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Interaction Recognition,How are the people interacting?,sitting together,http://images.cocodataset.org/val2017/000000334555.jpg,10,261,0.9987657230089734,-1.2552680969238281,In,10,15.0,0.0019273844486949224,30.0,0.0019369371571734027,16.0,0.0019177705015457067,27.0,0.0019409453827309649,1.0,0.9661783347580306,0.9681390622295665,0.9176043439688757,24.0,0.0019307290705771315,16.0,0.0019163195221465331,0.9712286306293441,0.9886085007312413,16.0,0.001936885200114481,0.9755307720176266,9.0,0.0019455347492674246,13.0,0.0019142456367617253,0.7642045065086203,0.9169636088209151,9.0,0.0019270541406198223,0.9910760598382222,,,,,,,,,,,,
54,Scene Understanding,Where is this scene taking place?,kitchen,http://images.cocodataset.org/val2017/000000322864.jpg,7,254,0.9978633564800642,-0.6403933167457581,New,7,27.0,0.0021481502485198286,36.0,0.0022075582993791283,76.0,0.00212654749190584,67.0,0.0021474776743808793,0.9564142500056078,0.9761409825967332,0.9829959133386001,0.97953328108387,15.0,0.002082038789756936,26.0,0.0021336476792014167,0.9664572819896989,0.9663243931957524,18.0,0.0021765769162775186,0.9342064019134055,,,,,,,,,,,,,,,,,,,,,
55,Environment Type,Is this indoors or outdoors?,outdoors,http://images.cocodataset.org/val2017/000000018737.jpg,3,233,0.9923860793120017,-0.10173408687114716,Out,3,24.0,0.002345848446592935,58.0,0.00237080060635146,29.0,0.002355713530881733,,,0.9795739585136224,0.9487286847878376,0.9782415097457728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Scene Understanding,What type of room is this?,bedroom,http://images.cocodataset.org/val2017/000000356347.jpg,11,243,0.9992107148556049,-0.04156648367643356,K,11,21.0,0.0019049260019364017,18.0,0.0018922809818813775,16.0,0.0018860162700909731,72.0,0.0018896230971506853,0.9526841246715825,0.9758159039662214,0.9755307720176265,0.9738580223486633,40.0,0.0018924885983255626,36.0,0.00189361070307318,0.9616734342416563,0.9769853801932566,15.0,0.0018820939172822305,0.9877812438119247,32.0,0.0018942060184631944,17.0,0.0018893007329546338,0.9331283343729938,0.9878171319090819,17.0,0.0018892848843904487,0.9770358764490155,22.0,0.0018935438469139948,,,0.933816945485606,,,,,,,
57,Contextual Understanding,What is the purpose of this space?,cooking,http://images.cocodataset.org/val2017/000000322864.jpg,10,249,0.997911334038043,-1.7975407838821411,The,10,39.0,0.0021492807560744005,31.0,0.0021177232228962025,36.0,0.002085260865001512,19.0,0.002066340779378855,0.9777761597404581,0.9610541506765681,0.9474708343527999,0.9418071986717287,17.0,0.0021145097505187115,29.0,0.002095275930500317,0.8846148739279865,0.9905655791153918,25.0,0.002062531766983859,0.9790081411766279,16.0,0.0020612697754775855,33.0,0.002069748842399083,0.9618974703476992,0.9975615042420973,22.0,0.002086620198694813,0.9904129681145393,,,,,,,,,,,,
58,Scene Understanding,What type of location is shown?,park,http://images.cocodataset.org/val2017/000000334555.jpg,2,215,0.9986176413168286,-1.1921311616897583,City,2,114.0,0.0019218104836240281,27.0,0.0019209418164003137,,,,,0.9768989838434067,0.9913248349537365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Environment Type,Is this a natural or urban environment?,urban,http://images.cocodataset.org/val2017/000000138819.jpg,6,116,0.9982675112466268,-0.25776657462120056,Urban,6,23.0,0.002016522242554731,274.0,0.002016742182973152,20.0,0.001984285195426976,27.0,0.0019848775619798593,0.9926387952545109,0.9824209028515144,0.9843006345716333,0.9794773758936526,30.0,0.0019776286768260895,20.0,0.0019832608963607093,0.9925823876369816,0.9921503172858166,,,,,,,,,,,,,,,,,,,,,,,,
60,Scene Understanding,What setting is this?,beach,http://images.cocodataset.org/val2017/000000361268.jpg,9,202,0.9983405658490377,-0.8802231550216675,A,9,27.0,0.0019352831899471803,140.0,0.0019456646249754953,76.0,0.0019452785733936066,19.0,0.0019624025267559343,0.960267607603483,0.9850260057758011,0.9769403648563402,0.8693978806749074,16.0,0.001964824298917891,18.0,0.0019458103343223667,0.9886994082884974,0.9728825026363701,17.0,0.001969801407449739,0.9975025463691152,26.0,0.0019484169164326515,17.0,0.0019206013807953905,0.980618302361438,0.9519839065438831,,,,,,,,,,,,,,,
62,Scene Understanding,What kind of area is depicted?,street,http://images.cocodataset.org/val2017/000000109798.jpg,11,232,0.9947810461450957,-0.6095389127731323,K,11,19.0,0.00215650261643351,22.0,0.002181592145342005,35.0,0.00217132177428828,16.0,0.002169538220432902,0.9656476401164373,0.998145975216737,0.9577827825976706,0.886859507142915,17.0,0.002196022164464797,18.0,0.002160298925480039,0.9774178175281716,0.9206250851407773,18.0,0.002174597836171552,0.9342064019134054,21.0,0.0021735594872868695,129.0,0.002170321299401302,0.9095134728820528,0.977139162195647,67.0,0.002185161276997605,0.9642594538891192,33.0,0.002168863957987982,,,0.9622607854879222,,,,,,,
63,Environment Type,Is this a public or private space?,public,http://images.cocodataset.org/val2017/000000334555.jpg,3,288,0.9956011640467327,-0.1544196754693985,Public,3,15.0,0.002280669000209448,15.0,0.002336535232025753,15.0,0.00252397920378594,,,0.944623214254579,1.0,0.8443536850036224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Scene Understanding,What venue is this?,sports field,http://images.cocodataset.org/val2017/000000308430.jpg,5,313,0.9993808717313306,-0.2433728277683258,K,5,67.0,0.0018752333504143068,26.0,0.0018750167982800722,17.0,0.0019045702752886423,22.0,0.0018828076590731886,0.9692974396401994,0.9846016942256396,0.9774178175281716,0.9747321513897027,44.0,0.0018795827580968005,,,0.9856201309211089,,,,,,,,,,,,,,,,,,,,,,,,,
65,Contextual Understanding,What is the setting of this image?,living room,http://images.cocodataset.org/val2017/000000087038.jpg,7,284,0.9979892562752735,-0.9241230487823486,A,7,15.0,0.0021575433421549563,19.0,0.002113466800797312,22.0,0.002091057726337505,18.0,0.0020804576275254127,0.9182958340544896,0.9826301639446198,0.97283015230032,0.9182958340544896,8.0,0.002008905256748627,25.0,0.0020386462777389103,0.985056822321508,0.9706252067822185,16.0,0.0020714398089594363,0.9248008763572907,,,,,,,,,,,,,,,,,,,,,
66,Temporal Reasoning,What time of day is it?,daytime,http://images.cocodataset.org/val2017/000000458109.jpg,14,177,0.9826006070915195,-1.1416642665863037,Day,14,16.0,0.0027149828285818354,25.0,0.0027071484556929885,22.0,0.0027151091577722036,15.0,0.0027317669718720833,0.8620485698650454,0.9828390276231687,0.8949645376549995,0.9967916319816366,22.0,0.0027061723925311636,17.0,0.00269546784070888,0.9477528103057692,0.9603948809345497,15.0,0.0026682012471164773,0.9654013672997089,11.0,0.002674071553051938,11.0,0.002627779657924271,0.826074224242703,0.9713067383178076,22.0,0.002655743349120197,0.9098596492561207,4.0,0.002570180753191235,64.0,0.002646105858738634,1.0,0.9667206800975726,16.0,0.0026695934341946044,40.0,0.0026548500362377613,0.8980898459737487,0.9610371466370555
67,Weather Recognition,What is the weather like?,sunny,http://images.cocodataset.org/val2017/000000458109.jpg,8,156,0.9984361686782138,-0.6325448751449585,Sun,8,52.0,0.0019854883699048243,10.0,0.0019548226327920854,190.0,0.0019883112693673253,14.0,0.0020158229605845724,0.9762601116123806,0.8649735207179273,0.9682040834028944,0.863120568566631,25.0,0.0020249694671192493,17.0,0.0019678460845016406,0.998561914578656,0.9256134079485958,16.0,0.001968683431042221,0.985056822321508,64.0,0.001976621581884305,,,0.9678572390109182,,,,,,,,,,,,,,,,
68,Temporal Reasoning,Is it day or night?,day,http://images.cocodataset.org/val2017/000000018737.jpg,9,245,0.9934804488424631,-0.30565914511680603,Day,9,25.0,0.0022921750782989286,22.0,0.0023355885899782585,9.0,0.0022655846864126734,18.0,0.0023745532210393936,0.968224758255977,0.9700357646545448,0.9910760598382222,0.9656336071428252,27.0,0.0023287796083544263,90.0,0.0023913344807323027,0.9330829761526955,0.9814493417291046,26.0,0.0023698257525115807,0.909530314711039,28.0,0.002351481201768865,17.0,0.0023597804052555194,0.9627569784274551,0.9770358764490155,,,,,,,,,,,,,,,
69,Weather Recognition,Is it raining?,no,http://images.cocodataset.org/val2017/000000285894.jpg,4,304,0.9968633323104411,-0.9103134870529175,Sun,4,15.0,0.0021155741751495527,15.0,0.002109011321803803,9.0,0.002103431314499297,34.0,0.002139938154217849,0.9664572819896989,0.982798115178801,0.9057125980138372,0.9792171830657912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Temporal Reasoning,What season does this appear to be?,summer,http://images.cocodataset.org/val2017/000000361268.jpg,6,300,0.998034328340992,-0.5226655006408691,Summer,6,26.0,0.0020927605604964877,17.0,0.0021590959661891697,26.0,0.002106491949127588,18.0,0.0020594123938426547,0.9934151417289491,0.8846148739279867,0.9785634767531909,0.9248127822568168,22.0,0.0020414768575680144,11.0,0.002040187023146941,0.9888167467420675,0.9713067383178076,,,,,,,,,,,,,,,,,,,,,,,,
71,Environmental Condition,Is it bright or dark?,bright,http://images.cocodataset.org/val2017/000000458109.jpg,0,259,0.9982096682235565,-0.4926770329475403,Bright,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Temporal Reasoning,What part of the day is shown?,afternoon,http://images.cocodataset.org/val2017/000000334555.jpg,2,299,0.9946716492062978,-1.2842228412628174,Day,2,58.0,0.002311475746494862,21.0,0.0023423320657873373,,,,,0.9818326894334544,0.8751124386426176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Weather Recognition,Are there clouds in the sky?,yes,http://images.cocodataset.org/val2017/000000458109.jpg,10,325,0.9983789934957735,-0.3621687889099121,No,10,17.0,0.002000955269447992,18.0,0.0019825524151918365,27.0,0.0019952161955554843,26.0,0.0019707098299036976,0.8702290979524684,0.8826232641893705,0.9049069276923406,0.964563236385718,19.0,0.0019890880713905063,16.0,0.0019906883765069255,0.9826301639446198,0.8957541375001011,15.0,0.0019727704234877757,0.9877812438119247,15.0,0.0019702947822896016,17.0,0.0019637826920722167,0.9877812438119247,0.9856676426534905,16.0,0.0019669101009262033,0.9681390622295665,,,,,,,,,,,,
74,Environmental Condition,Is there natural light?,yes,http://images.cocodataset.org/val2017/000000018737.jpg,5,253,0.9989557315675067,-0.4320460855960846,Sun,5,15.0,0.001992756968351681,74.0,0.001973010128188242,19.0,0.002035893162928705,18.0,0.001986362651735689,0.9877812438119246,0.9696383013798227,0.9649618403823442,0.9206250851407773,37.0,0.001988879447784002,,,0.9925764681643132,,,,,,,,,,,,,,,,,,,,,,,,,
75,Temporal Reasoning,Does this look like morning or evening?,morning,http://images.cocodataset.org/val2017/000000125211.jpg,2,166,0.930527110919191,-1.014854907989502,Mor,2,201.0,0.006344169312154276,17.0,0.004863293573763348,,,,,0.985154743896827,0.9812327163481073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Yes/No,Is there a dog in the image?,yes,http://images.cocodataset.org/val2017/000000017627.jpg,7,232,0.994621171109622,-0.03723467141389847,No,7,16.0,0.0021910462899734917,77.0,0.0021660746294982517,20.0,0.0021438006784124672,14.0,0.002151242262475868,0.8194483718728035,0.9796111994237674,0.9737442138807325,0.995232557322099,50.0,0.0021613303918667256,11.0,0.002170182751611049,0.989355103011887,0.9940302114769565,57.0,0.0021588393328915915,0.9697534828867684,,,,,,,,,,,,,,,,,,,,,
77,Yes/No,Are the people indoors?,no,http://images.cocodataset.org/val2017/000000334555.jpg,9,277,0.9963668960967434,-0.16271576285362244,No,9,19.0,0.0021599044376090456,39.0,0.0021532710111449326,27.0,0.002132964601199982,65.0,0.002127081104517296,0.8693978806749074,0.9948803690533676,0.9303268625291959,0.9643229483265863,72.0,0.0021335898910551728,24.0,0.002159392801704481,0.9767088594359011,0.985056822321508,51.0,0.002128025083104648,0.9688476772627113,31.0,0.002142155779543871,18.0,0.00213008904064338,0.9417873215414798,0.9656336071428252,,,,,,,,,,,,,,,
78,Yes/No,Is it nighttime?,no,http://images.cocodataset.org/val2017/000000458109.jpg,4,293,0.9979611249676597,-0.3030392527580261,No,4,15.0,0.0020105758136637233,25.0,0.0019960567155075356,44.0,0.001972905272201351,57.0,0.00197747638924754,0.9182958340544896,0.9845127868218253,0.9883798938150675,0.980198979361821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Yes/No,Is there a laptop on the desk?,yes,http://images.cocodataset.org/val2017/000000231339.jpg,5,274,0.999099571492017,-0.00966760516166687,No,5,15.0,0.0018472591073635876,8.0,0.001850019301543385,25.0,0.001883928694798741,49.0,0.0018770554777360479,0.9949490477321437,1.0,0.9211460945412073,0.9724288982963394,22.0,0.001867515976936391,,,0.9849226290193991,,,,,,,,,,,,,,,,,,,,,,,,,
80,Yes/No,Are there multiple cats?,yes,http://images.cocodataset.org/val2017/000000039769.jpg,3,160,0.9989938086480697,-0.5061899423599243,No,3,81.0,0.001887798062326735,101.0,0.0019044701812451859,47.0,0.0018979183680859885,,,0.9835865981044172,0.9714896243789242,0.9578086826338711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Yes/No,Is the person wearing a helmet?,yes,http://images.cocodataset.org/val2017/000000502136.jpg,0,276,0.9982086153358365,-0.004651559982448816,No,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Yes/No,Is the bed unmade?,yes,http://images.cocodataset.org/val2017/000000356347.jpg,14,227,0.997553363278877,-0.33540257811546326,No,14,23.0,0.002066137401990446,23.0,0.002044040233791118,16.0,0.0020421415948618403,19.0,0.0020470236969115027,0.9932927654933185,0.9828913818695838,0.949701216438411,0.9975194757207203,18.0,0.00204095449344398,28.0,0.0020378963048039195,0.9915323997298832,0.9975904446236391,19.0,0.0020241149222061674,0.9720048748581784,25.0,0.002054724978309467,17.0,0.00205694796350069,0.925282216451617,0.8726389366057714,19.0,0.002049483898947235,0.9649618403823442,52.0,0.0020372193520698254,15.0,0.002041391839122179,0.9973154204035983,0.9018972358711528,22.0,0.0020223460328557554,16.0,0.0020313960208806943,0.9833753864788932,0.9965119062478288
84,Yes/No,Is there a traffic signal?,yes,http://images.cocodataset.org/val2017/000000138819.jpg,4,181,0.9981066237594655,-0.008260718546807766,No,4,62.0,0.0019491022781647474,32.0,0.0019348329971410965,97.0,0.001933226408089701,6.0,0.0019194608678707956,0.9642343766186411,0.9472212768774925,0.9919820676446482,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Yes/No,Are there elephants in the image?,yes,http://images.cocodataset.org/val2017/000000025393.jpg,6,212,0.9986014796506776,-0.005712942220270634,No,6,30.0,0.001947198652920635,171.0,0.0019569223077520693,17.0,0.0019419822093288976,29.0,0.0019487979658407537,0.9840615335475156,0.9901249256556991,0.9856676426534906,0.9785463292474802,60.0,0.0019646623094497578,15.0,0.0019504275579857865,0.988082387912122,0.9018972358711528,,,,,,,,,,,,,,,,,,,,,,,,
86,Yes/No,Is someone holding an umbrella?,yes,http://images.cocodataset.org/val2017/000000285894.jpg,6,298,0.9905049765038276,-0.03501405194401741,No,6,26.0,0.002331111119086786,20.0,0.0023689792778292876,17.0,0.0023682969877686817,71.0,0.0023486667527461533,0.9743092791511181,0.9416915491145068,0.9878171319090819,0.9847558351734254,33.0,0.0023392434177083427,59.0,0.0023548252785838696,0.9557225707764107,0.9863427737402849,,,,,,,,,,,,,,,,,,,,,,,,
87,Yes/No,Is this a kitchen?,yes,http://images.cocodataset.org/val2017/000000322864.jpg,3,298,0.996652558824071,-0.0015008978080004454,No,3,16.0,0.002067480134556702,10.0,0.002056695917103387,9.0,0.002074902379871645,,,0.9886085007312412,0.9911594714322186,0.9910760598382222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Yes/No,Is there a vehicle in the image?,yes,http://images.cocodataset.org/val2017/000000109798.jpg,4,272,0.9983631320200098,-0.032101742923259735,No,4,40.0,0.001965753720700644,17.0,0.0019333757581042753,16.0,0.0019447825871035398,19.0,0.0019541345092565806,0.9451584324091113,0.9719977955078913,0.9618974703476992,0.9720048748581784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Yes/No,Is someone surfing?,yes,http://images.cocodataset.org/val2017/000000361268.jpg,0,260,0.9973643852108901,-0.0067903948947787285,No,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Yes/No,Is there a refrigerator visible?,yes,http://images.cocodataset.org/val2017/000000322844.jpg,4,331,0.9950120070990109,-0.008279048837721348,No,4,40.0,0.002158371741294768,17.0,0.0021246157352593506,16.0,0.002148694155374965,15.0,0.002121695312808016,0.9814294625625776,0.9771236998460402,0.9755307720176265,0.944623214254579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Knowledge Reasoning,What sport is being played?,baseball,http://images.cocodataset.org/val2017/000000308430.jpg,7,262,0.9939984125490462,-0.6220934391021729,None,7,18.0,0.0023289461065150066,52.0,0.002286343700751883,29.0,0.0023083016862600054,16.0,0.0023347458670927275,0.9342064019134054,0.9653359308488453,0.9365895140018885,0.8957541375001011,62.0,0.0023365288678227087,41.0,0.0022917252587433433,0.9789222171224777,0.9554406913718826,15.0,0.002278723434104535,1.0,,,,,,,,,,,,,,,,,,,,,
92,Knowledge Reasoning,What activity is this equipment used for?,skiing,http://images.cocodataset.org/val2017/000000502136.jpg,8,327,0.9994812835417382,-2.74042010307312,C,8,15.0,0.0018373762773367173,35.0,0.0018800109621841452,15.0,0.0018565934678553173,55.0,0.0018748427336369256,0.9949490477321437,0.9901408568199397,0.9654013672997089,0.9811655984564012,30.0,0.0018562086456698269,21.0,0.0018599813674889556,0.9809464023464665,0.9420864622689729,16.0,0.0018400352463816998,1.0,15.0,0.0018327726980723338,,,0.9949490477321437,,,,,,,,,,,,,,,,
93,Knowledge Reasoning,What game uses this type of equipment?,tennis,http://images.cocodataset.org/val2017/000000018737.jpg,3,74,0.9759616277117148,-0.9830080270767212,Motor,3,430.0,0.003952482878960226,23.0,0.004596197409045197,34.0,0.00387265484682869,,,0.9779821110731576,0.9876197168461962,0.9539814079728616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Knowledge Reasoning,What is this type of vehicle called?,bus,http://images.cocodataset.org/val2017/000000109798.jpg,4,266,0.9908465782970276,-1.3203235864639282,Car,4,26.0,0.0024239376725429212,24.0,0.0025651732666198603,18.0,0.002489370126399636,32.0,0.0024348689080719516,0.9676179687213727,0.8915352422694193,0.9874687506009636,0.9924056671541609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Knowledge Reasoning,What water sport is shown?,surfing,http://images.cocodataset.org/val2017/000000361268.jpg,10,193,0.9933250681612803,-1.8047093152999878,None,10,68.0,0.002205620010735496,25.0,0.0021812656864779183,34.0,0.002223070395685615,34.0,0.0021856402748937197,0.9706198147091555,0.9837115354331802,0.9473842715764641,0.9617223671117476,50.0,0.002182637402870992,26.0,0.002225810506776704,0.9632169905879785,0.975031878218105,37.0,0.002204423337388915,0.9515196185588539,17.0,0.0022003603723517737,19.0,0.0021838828676176425,0.9878171319090819,0.9656476401164373,18.0,0.002212948119956171,0.9728825026363701,,,,,,,,,,,,
97,Knowledge Reasoning,What type of traffic control is visible?,traffic light,http://images.cocodataset.org/val2017/000000138819.jpg,9,170,0.9900566325966687,-1.656780481338501,None,9,95.0,0.0023422225586694776,142.0,0.0023637517209812334,17.0,0.002335310794098541,113.0,0.0023368776121035577,0.9754144723531364,0.994295209988961,0.9437600120884535,0.9945110885070421,27.0,0.0023217506645118423,26.0,0.002341307127349764,0.9928370275077354,0.9938866857439921,15.0,0.002312533955186296,0.9877812438119247,18.0,0.0023413443377818016,16.0,0.002320080486819578,0.9758159039662214,0.985056822321508,,,,,,,,,,,,,,,
98,Knowledge Reasoning,What is the function of this appliance?,food storage,http://images.cocodataset.org/val2017/000000322844.jpg,7,262,0.9992841022877077,-2.324521780014038,The,7,36.0,0.0019300444028013165,28.0,0.0019460739551847032,66.0,0.0019522965454173197,58.0,0.0019748153285766377,0.9781738191131022,0.9975904446236391,0.9757039086221089,0.958887391163196,28.0,0.002017602286817793,36.0,0.0020039761977696277,0.9460765162887963,0.99906627908592,20.0,0.0019785331769802046,0.9835386311891136,,,,,,,,,,,,,,,,,,,,,
